Sno,year,state,month,number,date
273,2010,Alagoas,Fevereiro,26,01-01-2010
274,2011,Alagoas,Fevereiro,33,01-01-2011
275,2012,Alagoas,Fevereiro,41,01-01-2012
276,2013,Alagoas,Fevereiro,19,01-01-2013
277,2014,Alagoas,Fevereiro,29,01-01-2014
278,2015,Alagoas,Fevereiro,46,01-01-2015
279,2016,Alagoas,Fevereiro,14,01-01-2016
280,2017,Alagoas,Fevereiro,21,01-01-2017
281,1998,Alagoas,Março,0,01-01-1998
282,1999,Alagoas,Março,52,01-01-1999
283,2000,Alagoas,Março,32,01-01-2000
284,2001,Alagoas,Março,0,01-01-2001
285,2002,Alagoas,Março,27,01-01-2002
286,2003,Alagoas,Março,15,01-01-2003
287,2004,Alagoas,Março,16,01-01-2004
288,2005,Alagoas,Março,35,01-01-2005
289,2006,Alagoas,Março,37,01-01-2006
290,2007,Alagoas,Março,7,01-01-2007
291,2008,Alagoas,Março,31,01-01-2008
292,2009,Alagoas,Março,31,01-01-2009
293,2010,Alagoas,Março,70,01-01-2010
294,2011,Alagoas,Março,34,01-01-2011
295,2012,Alagoas,Março,44,01-01-2012
296,2013,Alagoas,Março,31,01-01-2013
297,2014,Alagoas,Março,28,01-01-2014
298,2015,Alagoas,Março,32,01-01-2015
299,2016,Alagoas,Março,9,01-01-2016
300,2017,Alagoas,Março,23,01-01-2017
301,1998,Alagoas,Abril,0,01-01-1998
302,1999,Alagoas,Abril,4,01-01-1999
303,2000,Alagoas,Abril,20,01-01-2000
304,2001,Alagoas,Abril,0,01-01-2001
305,2002,Alagoas,Abril,6,01-01-2002
306,2003,Alagoas,Abril,20,01-01-2003
307,2004,Alagoas,Abril,6,01-01-2004
308,2005,Alagoas,Abril,1,01-01-2005
309,2006,Alagoas,Abril,2,01-01-2006
310,2007,Alagoas,Abril,1,01-01-2007
311,2008,Alagoas,Abril,18,01-01-2008
312,2009,Alagoas,Abril,5,01-01-2009
313,2010,Alagoas,Abril,3,01-01-2010
314,2011,Alagoas,Abril,17,01-01-2011
315,2012,Alagoas,Abril,18,01-01-2012
316,2013,Alagoas,Abril,25,01-01-2013
317,2014,Alagoas,Abril,16,01-01-2014
318,2015,Alagoas,Abril,63,01-01-2015
319,2016,Alagoas,Abril,13,01-01-2016
320,2017,Alagoas,Abril,7,01-01-2017
321,1998,Alagoas,Maio,0,01-01-1998
322,1999,Alagoas,Maio,1,01-01-1999
323,2000,Alagoas,Maio,1,01-01-2000
324,2001,Alagoas,Maio,2,01-01-2001
325,2002,Alagoas,Maio,1,01-01-2002
326,2003,Alagoas,Maio,1,01-01-2003
327,2004,Alagoas,Maio,3,01-01-2004
328,2005,Alagoas,Maio,0,01-01-2005
329,2006,Alagoas,Maio,0,01-01-2006
330,2007,Alagoas,Maio,0,01-01-2007
331,2008,Alagoas,Maio,0,01-01-2008
332,2009,Alagoas,Maio,0,01-01-2009
333,2010,Alagoas,Maio,0,01-01-2010
334,2011,Alagoas,Maio,0,01-01-2011
335,2012,Alagoas,Maio,21,01-01-2012
336,2013,Alagoas,Maio,2,01-01-2013
337,2014,Alagoas,Maio,1,01-01-2014
338,2015,Alagoas,Maio,18,01-01-2015
339,2016,Alagoas,Maio,4,01-01-2016
340,2017,Alagoas,Maio,1,01-01-2017
341,1998,Alagoas,Junho,0,01-01-1998
342,1999,Alagoas,Junho,0,01-01-1999
343,2000,Alagoas,Junho,0,01-01-2000
344,2001,Alagoas,Junho,2,01-01-2001
345,2002,Alagoas,Junho,0,01-01-2002
346,2003,Alagoas,Junho,0,01-01-2003
347,2004,Alagoas,Junho,0,01-01-2004
348,2005,Alagoas,Junho,0,01-01-2005
349,2006,Alagoas,Junho,0,01-01-2006
350,2007,Alagoas,Junho,0,01-01-2007
351,2008,Alagoas,Junho,0,01-01-2008
352,2009,Alagoas,Junho,0,01-01-2009
353,2010,Alagoas,Junho,0,01-01-2010
354,2011,Alagoas,Junho,2,01-01-2011
355,2012,Alagoas,Junho,4,01-01-2012
356,2013,Alagoas,Junho,1,01-01-2013
357,2014,Alagoas,Junho,2,01-01-2014
358,2015,Alagoas,Junho,2,01-01-2015
359,2016,Alagoas,Junho,5,01-01-2016
360,2017,Alagoas,Junho,2,01-01-2017
361,1998,Alagoas,Julho,0,01-01-1998
362,1999,Alagoas,Julho,0,01-01-1999
363,2000,Alagoas,Julho,0,01-01-2000
364,2001,Alagoas,Julho,0,01-01-2001
365,2002,Alagoas,Julho,5,01-01-2002
